epoch,train_loss,lr,val_loss,acc_any@5,acc_all@5,acc@1,acc@5,acc_within_1bin,mae_deg,rmse_deg,acc@5°,acc@10°,mae_speech
1,2.9866500881830853,0.001,4.279294425362035,0.07302368421052631,0.07302368421052631,0.01768421052631579,0.07302368421052631,0.04231578947368421,89.1754566303454,103.14696163758674,0.026403157894736844,0.05649763157894737,
2,2.6031025484720867,0.001,2.611850637937847,0.6335763157894737,0.6335763157894737,0.15620552631578946,0.6335763157894737,0.4287757894736842,19.586905756835936,37.312359013387436,0.31590315789473683,0.5509652631578947,
3,2.4935777120431264,0.001,2.5760102292111045,0.6512560526315789,0.6512560526315789,0.16875421052631578,0.6512560526315789,0.4447607894736842,19.178786013440583,36.753016086696285,0.3166905263157895,0.556716052631579,
4,2.424777555990219,0.001,2.5818000349747505,0.6482321052631579,0.6482321052631579,0.16483894736842106,0.6482321052631579,0.4475557894736842,19.918158542865953,38.00586277342139,0.30615105263157893,0.5461323684210526,
5,2.3746813140392304,0.001,2.5551327759592155,0.66347,0.66347,0.17220605263157895,0.66347,0.46024815789473683,18.679412875976563,36.49826476472179,0.3399042105263158,0.5819763157894737,
6,2.3331222449143727,0.001,2.569413843757228,0.6650384210526316,0.6650384210526316,0.17443605263157894,0.6650384210526316,0.4591110526315789,18.73020628430818,36.33547318509992,0.32679315789473684,0.5703852631578947,
7,2.299280186764399,0.001,2.5650842872920787,0.6594105263157894,0.6594105263157894,0.17205473684210526,0.6594105263157894,0.4609171052631579,19.34186547761616,37.370858631066945,0.3205594736842105,0.5630413157894737,
8,2.2744326360702516,0.001,2.579482126888476,0.6647684210526316,0.6647684210526316,0.1767371052631579,0.6647684210526316,0.46459736842105265,18.644130320723683,36.28457467167896,0.33711815789473687,0.5782902631578948,
9,2.2498085599740345,0.001,2.5808423718904194,0.6660805263157895,0.6660805263157895,0.17425052631578947,0.6660805263157895,0.4677786842105263,18.549674084215667,36.23477881734083,0.3385681578947368,0.5814023684210526,
10,2.229035325050354,0.001,2.5791701272663317,0.6635781578947368,0.6635781578947368,0.17611736842105263,0.6635781578947368,0.4650518421052632,19.087038331748563,37.29980891863901,0.3356071052631579,0.5778273684210526,
11,2.209218598953883,0.001,2.5835493278001485,0.6669821052631579,0.6669821052631579,0.176145,0.6669821052631579,0.46766447368421055,18.523815554070723,36.47844981043704,0.34600631578947366,0.5889778947368421,
12,2.1912027462164563,0.001,2.610992205619812,0.6657647368421052,0.6657647368421052,0.17354394736842105,0.6657647368421052,0.4642107894736842,18.674057094212582,36.61571904474431,0.3415078947368421,0.5853144736842105,
13,2.176646305211385,0.001,2.6196467582803025,0.6615586842105263,0.6615586842105263,0.17426973684210526,0.6615586842105263,0.4633405263157895,18.744556838378905,36.61862877566205,0.33775421052631577,0.5801707894736842,
14,2.161265100193024,0.001,2.6399995128731977,0.6605315789473685,0.6605315789473685,0.174635,0.6605315789473685,0.46391236842105266,18.77231814401727,36.72844856438045,0.33912078947368424,0.5813881578947369,
15,2.148854418325424,0.001,2.6156378736997907,0.6637484210526315,0.6637484210526315,0.17618736842105262,0.6637484210526315,0.4649821052631579,18.70455277716386,36.71077159464534,0.34294157894736843,0.5856507894736842,
